question,all_answers,dummy_pool
publicity,宣伝、広告,"うたた寝, 財産, ～を忘れる"
summit,頂上、頂点、首脳会議,"同盟国, 遅れ, ～を避ける"
flock,群れ,"下書き、草稿, 療法、治療法, ～を無視する"
plague,疫病,"光景, もてなし, ～を忘れる"
haste,急ぐこと,"前提, 化合物, ～を避ける"
nap,うたた寝,"財産, ありがたいもの、恵み, ～を無視する"
ally,同盟国,"遅れ, 感覚、感じ, ～を忘れる"
draft,下書き、草稿,"療法、治療法, 不景気、不況, ～を避ける"
spectacle,光景,"もてなし, 棒、極, ～を無視する"
premise,前提,"化合物, 態度、考え方、見通し、見込み, ～を忘れる"
asset,財産,"ありがたいもの、恵み, 活動, ～を避ける"
lag,遅れ,"感覚、感じ, 慈悲、情け, ～を無視する"
therapy,療法、治療法,"不景気、不況, 相当するもの, ～を忘れる"
reception,もてなし,"棒、極, 期間、討論, ～を避ける"
compound,化合物,"態度、考え方、見通し、見込み, 変動範囲、領域, ～を無視する"
blessing,ありがたいもの、恵み,"活動, くず、がらくた, ～を忘れる"
sensation,感覚、感じ,"慈悲、情け, 崇拝, ～を避ける"
recession,不景気、不況,"相当するもの, しがちである、する傾向がある, ～を無視する"
pole,棒、極,"期間、討論, 謙虚な、粗末な, ～を忘れる"
outlook,態度、考え方、見通し、見込み,"変動範囲、領域, 得る権利がある、題された, ～を避ける"
endeavor,活動,"くず、がらくた, 妥当な、正当な, ～を無視する"
mercy,慈悲、情け,"崇拝, かすかな, ～を忘れる"
counterpart,相当するもの,"しがちである、する傾向がある, 堅い, ～を避ける"
session,期間、討論,"謙虚な、粗末な, わかりにくい, ～を無視する"
spectrum,変動範囲、領域,"得る権利がある、題された, 激しい, ～を忘れる"
junk,くず、がらくた,"妥当な、正当な, （問題が）深刻な、（感覚・痛みが）鋭い, ～を避ける"
worship,崇拝,"かすかな, （仕事がなくて）何もしていない, ～を無視する"
apt,しがちである、する傾向がある,"堅い, 粗末な、粗野な, ～を忘れる"
humble,謙虚な、粗末な,"わかりにくい, 嫉妬深い、羨ましい, ～を避ける"
entitled,得る権利がある、題された,"激しい, 妊娠している, ～を無視する"
valid,妥当な、正当な,"（問題が）深刻な、（感覚・痛みが）鋭い, しがちである、可能性が高い, ～を忘れる"
faint,かすかな,"（仕事がなくて）何もしていない, 頑固な, ～を避ける"
stiff,堅い,"粗末な、粗野な, まともな, ～を無視する"
obscure,わかりにくい,"嫉妬深い、羨ましい, 驚くべき, ～を忘れる"
fierce,激しい,"妊娠している, 誤解を招く, ～を避ける"
acute,（問題が）深刻な、（感覚・痛みが）鋭い,"しがちである、可能性が高い, 合成の, ～を無視する"
idle,（仕事がなくて）何もしていない,"頑固な, クラシックの, ～を忘れる"
crude,粗末な、粗野な,"まともな, イスラム教の, ～を避ける"
jealous,嫉妬深い、羨ましい,"驚くべき, 予想する, ～を無視する"
pregnant,妊娠している,"誤解を招く, こする, ～を忘れる"
liable,しがちである、可能性が高い,"合成の, 処理する, ～を避ける"
stubborn,頑固な,"クラシックの, 控える, ～を無視する"
decent,まともな,"イスラム教の, 蓄積する, ～を忘れる"
marvelous,驚くべき,"予想する, 活気づける, ～を避ける"
misleading,誤解を招く,"こする, 引きずる, ～を無視する"
synthetic,合成の,"処理する, 修正する, ～を忘れる"
classical,クラシックの,"控える, かく, ～を避ける"
Muslim,イスラム教の,"蓄積する, ほえる, ～を無視する"
anticipate,予想する,"活気づける, 引用する, ～を忘れる"
rub,こする,"引きずる, 咲く, ～を避ける"
dispose,処理する,"修正する, 差し込む, ～を無視する"
refrain,控える,"かく, 待つ, ～を忘れる"
accumulate,蓄積する,"ほえる, 恐れる, ～を避ける"
boost,活気づける,"引用する, 隠す, ～を無視する"
drag,引きずる,"咲く, 豊かにする, ～を忘れる"
revise,修正する,"差し込む, 固執する, ～を避ける"
scratch,かく,"待つ, まさる, ～を無視する"
roar,ほえる,"恐れる, 抑える, ～を忘れる"
quote,引用する,"隠す, 描く, ～を避ける"
bloom,咲く,"豊かにする, 急上昇する, ～を無視する"
insert,差し込む,"固執する, 排出する, ～を忘れる"
awaiting,待つ,"まさる, ボーッと光る, ～を避ける"
dread,恐れる,"抑える, 移住する, ～を無視する"
conceal,隠す,"描く, 叫ぶ, ～を忘れる"
enrich,豊かにする,"急上昇する, 及ぼす, ～を避ける"
cling,固執する,"排出する, 隠す, ～を無視する"
surpass,まさる,"ボーッと光る, 加速する, ～を忘れる"
suppress,抑える,"移住する, 住む, ～を避ける"
portray,描く,"叫ぶ, 融けこませる, ～を無視する"
soaring,急上昇する,"及ぼす, 泣く, ～を忘れる"
drain,排出する,"隠す, 安心させる, ～を避ける"
glow,ボーッと光る,"加速する, はって進む, ～を無視する"
migrate,移住する,"住む, 抑制する, ～を忘れる"
exclaim,叫ぶ,"融けこませる, 腹を立てる, ～を避ける"
exert,及ぼす,"泣く, 大声で叫ぶ, ～を無視する"
disguise,隠す,"安心させる, 評価する, ～を忘れる"
accelerate,加速する,"はって進む, 彫る, ～を避ける"
dwell,住む,"抑制する, 止める, ～を無視する"
integrate,融けこませる,"腹を立てる, 検査する, ～を忘れる"
weep,泣く,"大声で叫ぶ, 取り組む, ～を避ける"
reassure,安心させる,"評価する, 省く, ～を無視する"
crawl,はって進む,"彫る, かむ, ～を忘れる"
restrain,抑制する,"止める, 再開する, ～を避ける"
resent,腹を立てる,"検査する, 作る, ～を無視する"
yell,大声で叫ぶ,"取り組む, 収容できる, ～を忘れる"
assess,評価する,"省く, 消す, ～を避ける"
carve,彫る,"かむ, 推量する, ～を無視する"
halt,止める,"再開する, 生き返らせる, ～を忘れる"
inspect,検査する,"作る, 考える, ～を避ける"
tackle,取り組む,"収容できる, 回転する, ～を無視する"
omit,省く,"消す, かき乱す, ～を忘れる"
chew,かむ,"推量する, 進路を決める, ～を避ける"
resume,再開する,"生き返らせる, 痛む, ～を無視する"
mold,作る,"考える, 捨てる, ～を忘れる"
accommodate,収容できる,"回転する, 取り入れる, ～を避ける"
erase,消す,"かき乱す, 追い越す, ～を無視する"
inferred,推量する,"進路を決める, 補う, ～を忘れる"
revive,生き返らせる,"痛む, 操作する, ～を避ける"
contemplate,考える,"捨てる, 養う, ～を無視する"
rotate,回転する,"取り入れる, しぼる, ～を忘れる"
disrupt,かき乱す,"追い越す, 描く, ～を避ける"
navigate,進路を決める,"補う, そらす, ～を無視する"
ache,痛む,"操作する, 暴露する, ～を忘れる"
discard,捨てる,"養う, 入学する, ～を避ける"
incorporate,取り入れる,"しぼる, 育てる, ～を無視する"
overtake,追い越す,"描く, 推測する, ～を忘れる"
supplement,補う,"そらす, 延ばす, ～を避ける"
manipulate,操作する,"暴露する, 処刑する, ～を無視する"
nourish,養う,"入学する, 明らかにする, ～を忘れる"
squeeze,しぼる,"育てる, 震える, ～を避ける"
depict,描く,"推測する, つかむ, ～を無視する"
distract,そらす,"延ばす, 廃止する, ～を忘れる"
disclose,暴露する,"処刑する, しかる, ～を避ける"
enroll,入学する,"明らかにする, 達成する, ～を無視する"
nurture,育てる,"震える, 発する, ～を忘れる"
speculate,推測する,"つかむ, 逃げる, ～を避ける"
prolong,延ばす,"廃止する, 怒らせる, ～を無視する"
execute,処刑する,"しかる, 告白する, ～を忘れる"
uncover,明らかにする,"達成する, 延期する, ～を避ける"
tremble,震える,"発する, 漂う, ～を無視する"
seize,つかむ,"逃げる, 織る, ～を忘れる"
abolish,廃止する,"怒らせる, 備えつける, ～を避ける"
scold,しかる,"告白する, ねじ曲げる, ～を無視する"
attain,達成する,"延期する, 取り出す, ～を忘れる"
utter,発する,"漂う, ぶつかる, ～を避ける"
flee,逃げる,"織る, 軽蔑する, ～を無視する"
offending,怒らせる,"備えつける, 我慢する, ～を忘れる"
confess,告白する,"ねじ曲げる, 自慢する, ～を避ける"
postpone,延期する,"取り出す, 栄えている, ～を無視する"
drift,漂う,"ぶつかる, 無視する, ～を忘れる"
weave,織る,"軽蔑する, からかう, ～を避ける"
install,備えつける,"我慢する, 強める, ～を無視する"
twist,ねじ曲げる,"自慢する, 努力する, ～を忘れる"
extract,取り出す,"栄えている, 合わせる, ～を避ける"
bump,ぶつかる,"無視する, あくびをする, ～を無視する"
despise,軽蔑する,"からかう, 抱きしめる, ～を忘れる"
tolerate,我慢する,"強める, 戦う, ～を避ける"
boast,自慢する,"努力する, 編む, ～を無視する"
flourishing,栄えている,"合わせる, 疲労, ～を忘れる"
disregard,無視する,"あくびをする, 名声, ～を避ける"
tease,からかう,"抱きしめる, めちゃくちゃ, ～を無視する"
reinforce,強める,"戦う, 尊厳, ～を忘れる"
strive,努力する,"編む, 運河, ～を避ける"
coordinate,合わせる,"疲労, 干ばつ, ～を無視する"
yawn,あくびをする,"名声, 絶望, ～を忘れる"
hug,抱きしめる,"めちゃくちゃ, 間隔, ～を避ける"
combat,戦う,"尊厳, 荷物, ～を無視する"
knit,編む,"運河, 代表して, ～を忘れる"
fatigue,疲労,"干ばつ, 衝動, ～を避ける"
fame,名声,"絶望, 破片, ～を無視する"
mess,めちゃくちゃ,"間隔, 野獣, ～を忘れる"
dignity,尊厳,"荷物, 迷信, ～を避ける"
canal,運河,"代表して, 幻想、錯覚, ～を無視する"
drought,干ばつ,"衝動, 糸, ～を忘れる"
despair,絶望,"破片, 摂取量, ～を避ける"
interval,間隔,"野獣, 宴会, ～を無視する"
luggage,荷物,"迷信, 移り変わり, ～を忘れる"
behalf,代表して,"幻想、錯覚, 悲惨さ, ～を避ける"
impulse,衝動,"糸, 放射線, ～を無視する"
debris,破片,"摂取量, 丸太, ～を忘れる"
beast,野獣,"宴会, 合意, ～を避ける"
superstition,迷信,"移り変わり, 行い, ～を無視する"
illusion,幻想、錯覚,"悲惨さ, ことわざ, ～を忘れる"
thread,糸,"放射線, ほめ言葉, ～を避ける"
intake,摂取量,"丸太, 炎, ～を無視する"
feast,宴会,"合意, 記念日, ～を忘れる"
transition,移り変わり,"行い, 良心, ～を避ける"
misery,悲惨さ,"ことわざ, 探検, ～を無視する"
radiation,放射線,"ほめ言葉, 子孫, ～を忘れる"
log,丸太,"炎, こづかい, ～を避ける"
consensus,合意,"記念日, 大見出し, ～を無視する"
deed,行い,"良心, 条約, ～を忘れる"
proverb,ことわざ,"探検, 記念碑, ～を避ける"
compliment,ほめ言葉,"子孫, 虫, ～を無視する"
flame,炎,"こづかい, 治療法, ～を忘れる"
anniversary,記念日,"大見出し, 百科事典, ～を避ける"
conscience,良心,"条約, ちらり, ～を無視する"
expedition,探検,"記念碑, 職員, ～を忘れる"
offspring,子孫,"虫, 勝利, ～を避ける"
allowance,こづかい,"治療法, 算数, ～を無視する"
headline,大見出し,"百科事典, 自尊心, ～を忘れる"
treaty,条約,"ちらり, 微生物, ～を避ける"
monument,記念碑,"職員, 可能性, ～を無視する"
worm,虫,"勝利, 混沌, ～を忘れる"
remedy,治療法,"算数, 運命, ～を避ける"
encyclopedia,百科事典,"自尊心, 直径, ～を無視する"
glimpse,ちらり,"微生物, 宝くじ, ～を忘れる"
personnel,職員,"可能性, みやげ物, ～を避ける"
triumph,勝利,"混沌, 小道, ～を無視する"
arithmetic,算数,"運命, 比率, ～を忘れる"
self-esteem,自尊心,"直径, 剣, ～を避ける"
microbe,微生物,"宝くじ, 笛, ～を無視する"
odds,可能性,"みやげ物, 感情, ～を忘れる"
chaos,混沌,"小道, 雑用, ～を避ける"
destiny,運命,"比率, 礼儀, ～を無視する"
diameter,直径,"剣, 市長, ～を忘れる"
lottery,宝くじ,"笛, 監視、見張り, ～を避ける"
souvenir,みやげ物,"感情, ごみ, ～を無視する"
trail,小道,"雑用, 名声, ～を忘れる"
ratio,比率,"礼儀, 本部、本社, ～を避ける"
sword,剣,"市長, 荒野, ～を無視する"
whistle,笛,"監視、見張り, 軌道, ～を忘れる"
sentiment,感情,"ごみ, 偏見, ～を避ける"
chore,雑用,"名声, 共和国, ～を無視する"
courtesy,礼儀,"本部、本社, 掘り出し物, ～を忘れる"
mayor,市長,"荒野, 領域, ～を避ける"
surveillance,監視、見張り,"軌道, 破片, ～を無視する"
trash,ごみ,"偏見, 星雲, ～を忘れる"
prestige,名声,"共和国, ひざ, ～を避ける"
headquarters,本部、本社,"掘り出し物, 締め切り, ～を無視する"
wilderness,荒野,"領域, 弾丸, ～を忘れる"
orbit,軌道,"破片, 歩行者, ～を避ける"
bias,偏見,"星雲, 機知, ～を無視する"
republic,共和国,"ひざ, 迷惑, ～を忘れる"
bargain,掘り出し物,"締め切り, 基準, ～を避ける"
domain,領域,"弾丸, 苦難, ～を無視する"
fragment,破片,"歩行者, 栄光, ～を忘れる"
galaxy,星雲,"機知, 歩道, ～を避ける"
lap,ひざ,"迷惑, 海軍, ～を無視する"
deadline,締め切り,"基準, 台本, ～を忘れる"
bullet,弾丸,"苦難, 年金, ～を避ける"
pedestrian,歩行者,"栄光, 州, ～を無視する"
wit,機知,"歩道, 余剰, ～を忘れる"
nuisance,迷惑,"海軍, 水分, ～を避ける"
criteria,基準,"台本, あて布, ～を無視する"
hardship,苦難,"年金, 高度、標高, ～を忘れる"
glory,栄光,"州, 温度計, ～を避ける"
pavement,歩道,"余剰, 授業料, ～を無視する"
navy,海軍,"水分, 軍隊, ～を忘れる"
script,台本,"あて布, 霊長類, ～を避ける"
pension,年金,"高度、標高, 欠陥, ～を無視する"
province,州,"温度計, 甥, ～を忘れる"
surplus,余剰,"授業料, 衣服、衣類, ～を避ける"
moisture,水分,"軍隊, 診断, ～を無視する"
patch,あて布,"霊長類, 商業, ～を忘れる"
altitude,高度、標高,"欠陥, 古代、古物, ～を避ける"
thermometer,温度計,"甥, ほんの一部, ～を無視する"
tuition,授業料,"衣服、衣類, 皮肉, ～を忘れる"
troop,軍隊,"診断, 悪夢, ～を避ける"
primate,霊長類,"商業, 欠陥, ～を無視する"
flaw,欠陥,"古代、古物, 証明書, ～を忘れる"
nephew,甥,"ほんの一部, 腐敗, ～を避ける"
garment,衣服、衣類,"皮肉, 浸食, ～を無視する"
diagnosis,診断,"悪夢, 秘けつ, ～を忘れる"
commerce,商業,"欠陥, 骨格, ～を避ける"
antiquity,古代、古物,"証明書, 優雅さ, ～を無視する"
fraction,ほんの一部,"腐敗, 名所, ～を忘れる"
irony,皮肉,"浸食, 認知症, ～を避ける"
nightmare,悪夢,"秘けつ, 肉, ～を無視する"
defect,欠陥,"骨格, 衝突、対立, ～を忘れる"
certificate,証明書,"優雅さ, 危険なもの, ～を避ける"
decay,腐敗,"名所, 墓, ～を無視する"
erosion,浸食,"認知症, 注射, ～を忘れる"
recipe,秘けつ,"肉, 飛躍的進歩, ～を避ける"
skeleton,骨格,"衝突、対立, 革, ～を無視する"
grace,優雅さ,"危険なもの, 宝石, ～を忘れる"
landmark,名所,"墓, 合図, ～を避ける"
dementia,認知症,"注射, 救急車, ～を無視する"
flesh,肉,"飛躍的進歩, 不動産, ～を忘れる"
collision,衝突、対立,"革, 商品, ～を避ける"
hazard,危険なもの,"宝石, 出発, ～を無視する"
tomb,墓,"合図, 段階, ～を忘れる"
injection,注射,"救急車, 泥棒, ～を避ける"
breakthrough,飛躍的進歩,"不動産, 聖, ～を無視する"
leather,革,"商品, 彫刻, ～を忘れる"
jewelry,宝石,"出発, 悲しみ, ～を避ける"
cue,合図,"段階, 車線, ～を無視する"
ambulance,救急車,"泥棒, 捕食動物, ～を忘れる"
estate,不動産,"聖, 流体, ～を避ける"
commodity,商品,"彫刻, はげみ, ～を無視する"
departure,出発,"悲しみ, 花嫁, ～を忘れる"
phase,段階,"車線, 介入, ～を避ける"
thief,泥棒,"捕食動物, 差, ～を無視する"
saint,聖,"流体, 伝記, ～を忘れる"
sculpture,彫刻,"はげみ, 同意, ～を避ける"
grief,悲しみ,"花嫁, 火山, ～を無視する"
lane,車線,"介入, 反逆者, ～を忘れる"
predator,捕食動物,"差, 比喩, ～を避ける"
fluid,流体,"伝記, 法律, ～を無視する"
incentive,はげみ,"同意, 雷, ～を忘れる"
bride,花嫁,"火山, 殺虫剤, ～を避ける"
intervention,介入,"反逆者, コラム, ～を無視する"
margin,差,"比喩, うわさ, ～を忘れる"
biography,伝記,"法律, ほこり, ～を避ける"
consent,同意,"雷, 対話, ～を無視する"
volcano,火山,"殺虫剤, 幼稚園, ～を忘れる"
rebel,反逆者,"コラム, 糖尿病, ～を避ける"
metaphor,比喩,"うわさ, 肥満, ～を無視する"
legislation,法律,"ほこり, 特許, ～を忘れる"
lightning,雷,"対話, 章, ～を避ける"
pesticide,殺虫剤,"幼稚園, 宮殿, ～を無視する"
column,コラム,"糖尿病, 洗濯, ～を忘れる"
rumor,うわさ,"肥満, 病棟, ～を避ける"
dust,ほこり,"特許, ぼっ発, ～を無視する"
dialogue,対話,"章, 方程式, ～を忘れる"
kindergarten,幼稚園,"宮殿, 考古学者, ～を避ける"
diabetes,糖尿病,"洗濯, 腐敗, ～を無視する"
obesity,肥満,"病棟, 細菌, ～を忘れる"
patent,特許,"ぼっ発, 収入, ～を避ける"
chapter,章,"方程式, 配偶者, ～を無視する"
palace,宮殿,"考古学者, 流行, ～を忘れる"
laundry,洗濯,"腐敗, 死亡, ～を避ける"
ward,病棟,"細菌, 症候群, ～を無視する"
outbreak,ぼっ発,"収入, 小売り, ～を忘れる"
equation,方程式,"配偶者, 量, ～を避ける"
archaeologist,考古学者,"流行, 飲み物, ～を無視する"
corruption,腐敗,"死亡, 新陳代謝, ～を忘れる"
germ,細菌,"症候群, 交配種, ～を避ける"
revenue,収入,"小売り, 香り, ～を無視する"
spouse,配偶者,"量, 炎症, ～を忘れる"
epidemic,流行,"飲み物, 薬, ～を避ける"
mortality,死亡,"新陳代謝, 重大な, ～を無視する"
syndrome,症候群,"交配種, 肥えた, ～を忘れる"
retail,小売り,"香り, 反感を持つ, ～を避ける"
dose,量,"炎症, 不可欠な, ～を無視する"
beverage,飲み物,"薬, 志向の, ～を忘れる"
Metabolism,新陳代謝,"重大な, すばらしい, ～を避ける"
hybrid,交配種,"肥えた, 有能な, ～を無視する"
scent,香り,"反感を持つ, 最高の, ～を忘れる"
inflammation,炎症,"不可欠な, わかりやすい, ～を避ける"
pill,薬,"志向の, 聖, ～を無視する"
grave,重大な,"すばらしい, 大胆な, ～を忘れる"
fertile,肥えた,"有能な, 不安な, ～を避ける"
hostile,反感を持つ,"最高の, きちんとした, ～を無視する"
indispensable,不可欠な,"わかりやすい, 浅い, ～を忘れる"
oriented,志向の,"聖, 偽物の, ～を避ける"
splendid,すばらしい,"大胆な, 表面的な, ～を無視する"
competent,有能な,"不安な, ばかげた, ～を忘れる"
supreme,最高の,"きちんとした, 壊れやすい, ～を避ける"
straightforward,わかりやすい,"浅い, ちゃんとした, ～を無視する"
sacred,聖,"偽物の, すばらしい, ～を忘れる"
bold,大胆な,"表面的な, 無限の, ～を避ける"
uneasy,不安な,"ばかげた, 包括的な, ～を無視する"
neat,きちんとした,"壊れやすい, 険しい, ～を忘れる"
shallow,浅い,"ちゃんとした, 総, ～を避ける"
fake,偽物の,"すばらしい, 次に起こる, ～を無視する"
superficial,表面的な,"無限の, 心からの, ～を忘れる"
absurd,ばかげた,"包括的な, 有毒な, ～を避ける"
fragile,壊れやすい,"険しい, 中立の, ～を無視する"
respectable,ちゃんとした,"総, 勤勉な, ～を忘れる"
magnificent,すばらしい,"次に起こる, 痛い, ～を避ける"
infinite,無限の,"心からの, 汚染された, ～を無視する"
comprehensive,包括的な,"有毒な, あいまいな, ～を忘れる"
steep,険しい,"中立の, 口述の, ～を避ける"
gross,総,"勤勉な, 落ち着かない, ～を無視する"
subsequent,次に起こる,"痛い, 腐った, ～を忘れる"
sincere,心からの,"汚染された, 精力的な, ～を避ける"
toxic,有毒な,"あいまいな, 莫大な, ～を無視する"
neutral,中立の,"口述の, 大都市の, ～を忘れる"
diligent,勤勉な,"落ち着かない, 時間をきっちり守る, ～を避ける"
sore,痛い,"腐った, 孤独な, ～を無視する"
contaminated,汚染された,"精力的な, 集団, ～を忘れる"
ambiguous,あいまいな,"莫大な, 外交の, ～を避ける"
oral,口述の,"大都市の, 不快な, ～を無視する"
restless,落ち着かない,"時間をきっちり守る, 無力な, ～を忘れる"
rotten,腐った,"孤独な, 明確な、はっきりした, ～を避ける"
vigorous,精力的な,"集団, 破産した, ～を無視する"
immense,莫大な,"外交の, 永遠の, ～を忘れる"
metropolitan,大都市の,"不快な, 唯一の, ～を避ける"
punctual,時間をきっちり守る,"無力な, すっぱい, ～を無視する"
solitary,孤独な,"明確な、はっきりした, 注目すべき, ～を忘れる"
collective,集団,"破産した, 裕福な, ～を避ける"
diplomatic,外交の,"永遠の, 裸の, ～を無視する"
nasty,不快な,"唯一の, 発声, ～を忘れる"
helpless,無力な,"すっぱい, 女性の, ～を避ける"
explicit,明確な、はっきりした,"注目すべき, 空いている, ～を無視する"
bankrupt,破産した,"裕福な, 外来の, ～を忘れる"
eternal,永遠の,"裸の, 厳格な, ～を避ける"
sole,唯一の,"発声, 蒸し暑い, ～を無視する"
sour,すっぱい,"女性の, 傑出した, ～を忘れる"
notable,注目すべき,"空いている, 中毒である, ～を避ける"
affluent,裕福な,"外来の, 受けやすい, ～を無視する"
naked,裸の,"厳格な, 自然に起こる, ～を忘れる"
vocal,発声,"蒸し暑い, 貪欲な, ～を避ける"
feminine,女性の,"傑出した, ささいな, ～を無視する"
vacant,空いている,"中毒である, 一人当たりの, ～を忘れる"
exotic,外来の,"受けやすい, 元から伴う, ～を避ける"
rigid,厳格な,"自然に起こる, 前途有望な, ～を無視する"
humid,蒸し暑い,"貪欲な, 生理的な, ～を忘れる"
outstanding,傑出した,"ささいな, 臨床, ～を避ける"
addicted,中毒である,"一人当たりの, 慢性の, ～を無視する"
vulnerable,受けやすい,"元から伴う, 地質学的な, ～を忘れる"
spontaneous,自然に起こる,"前途有望な, 無数の, ～を避ける"
greedy,貪欲な,"生理的な, 先天的な, ～を無視する"
trivial,ささいな,"臨床, 用心する, ～を忘れる"
per capita,一人当たりの,"慢性の, 自動運転, ～を避ける"
inherent,元から伴う,"地質学的な, 同時に, ～を無視する"
promising,前途有望な,"無数の, まったく, ～を忘れる"
physiological,生理的な,"先天的な, 劇的に, ～を避ける"
clinical,臨床,"用心する, 必ずしも, ～を無視する"
chronic,慢性の,"自動運転, そうすることで, ～を忘れる"
geological,地質学的な,"同時に, 率直に, ～を避ける"
countless,無数の,"まったく, すなわち, ～を無視する"
innate,先天的な,"劇的に, だから, ～を忘れる"
alert,用心する,"必ずしも, 経由で, ～を避ける"
autonomous,自動運転,"そうすることで, のために, ～を無視する"
simultaneously,同時に,"率直に, 明らかにする, ～を忘れる"
utterly,まったく,"すなわち, 粉々に砕く, ～を避ける"
drastically,劇的に,"だから, 悲しむ, ～を無視する"
necessarily,必ずしも,"経由で, 呼ぶ, ～を忘れる"
thereby,そうすることで,"のために, 粉々にする, ～を避ける"
frankly,率直に,"明らかにする, 残る, ～を無視する"
namely,すなわち,"粉々に砕く, 嘆く, ～を忘れる"
hence,だから,"悲しむ, 恵まれる, ～を避ける"
via,経由で,"呼ぶ, 喜ぶ, ～を無視する"
owing,のために,"粉々にする, 配分する, ～を忘れる"
clarify,明らかにする,"残る, ピシャリと打つ, ～を避ける"
smash,粉々に砕く,"嘆く, 主張する, ～を無視する"
mourn,悲しむ,"恵まれる, 誓う, ～を忘れる"
summon,呼ぶ,"喜ぶ, 識別する, ～を避ける"
shatter,粉々にする,"配分する, 悪化させる, ～を無視する"
linger,残る,"ピシャリと打つ, 築く, ～を忘れる"
lament,嘆く,"主張する, 証言する, ～を避ける"
endowed,恵まれる,"誓う, 駆りたてる, ～を無視する"
rejoice,喜ぶ,"識別する, 歩き回る, ～を忘れる"
allocate,配分する,"悪化させる, まゆをひそめる, ～を避ける"
slap,ピシャリと打つ,"築く, 呼び込む, ～を無視する"
contend,主張する,"証言する, 逆らう, ～を忘れる"
swear,誓う,"駆りたてる, ぶらつく, ～を避ける"
discern,識別する,"歩き回る, がたがた鳴らす, ～を無視する"
degrade,悪化させる,"まゆをひそめる, 調和させる, ～を忘れる"
erect,築く,"呼び込む, ぼやかす, ～を避ける"
testify,証言する,"逆らう, なだめる, ～を無視する"
spur,駆りたてる,"ぶらつく, 低下させる, ～を忘れる"
roam,歩き回る,"がたがた鳴らす, 従う, ～を避ける"
frown,まゆをひそめる,"調和させる, 穴をあける, ～を無視する"
lure,呼び込む,"ぼやかす, つまずく, ～を忘れる"
defy,逆らう,"なだめる, さまたげる, ～を避ける"
stroll,ぶらつく,"低下させる, あざける, ～を無視する"
rattle,がたがた鳴らす,"従う, 具現する, ～を忘れる"
reconcile,調和させる,"穴をあける, 忍び寄る, ～を避ける"
blur,ぼやかす,"つまずく, 宣言する, ～を無視する"
soothe,なだめる,"さまたげる, 拍手する, ～を忘れる"
impair,低下させる,"あざける, 与える, ～を避ける"
comply,従う,"具現する, 合併する, ～を無視する"
pierce,穴をあける,"忍び寄る, 避難した, ～を忘れる"
stumble,つまずく,"宣言する, 元に戻る, ～を避ける"
hinder,さまたげる,"拍手する, 突く, ～を無視する"
mock,あざける,"与える, つきまとわれる, ～を忘れる"
embody,具現する,"合併する, 固く守る, ～を避ける"
stalk,忍び寄る,"避難した, まとめる, ～を無視する"
proclaim,宣言する,"元に戻る, しぼむ, ～を忘れる"
applaud,拍手する,"突く, びっくりさせる, ～を避ける"
inflict,与える,"つきまとわれる, のどがつまる, ～を無視する"
merge,合併する,"固く守る, 悪化する, ～を忘れる"
evacuated,避難した,"まとめる, 捨てる, ～を避ける"
undone,元に戻る,"しぼむ, つぶやく, ～を無視する"
poke,突く,"びっくりさせる, 削除する, ～を忘れる"
haunted,つきまとわれる,"のどがつまる, 阻害する, ～を避ける"
adhere,固く守る,"悪化する, そらす, ～を無視する"
compile,まとめる,"捨てる, 飼いならす, ～を忘れる"
wither,しぼむ,"つぶやく, 手に入れる, ～を避ける"
stun,びっくりさせる,"削除する, 断言する, ～を無視する"
choke,のどがつまる,"阻害する, 浸る, ～を忘れる"
deteriorate,悪化する,"そらす, 期限が切れる, ～を避ける"
dump,捨てる,"飼いならす, 乗り出す, ～を無視する"
murmur,つぶやく,"手に入れる, 誓う, ～を忘れる"
delete,削除する,"断言する, 予知する, ～を避ける"
inhibit,阻害する,"浸る, 崇拝する, ～を無視する"
divert,そらす,"期限が切れる, 切望する, ～を忘れる"
tame,飼いならす,"乗り出す, 弱める, ～を避ける"
reap,手に入れる,"誓う, 吸う, ～を無視する"
affirm,断言する,"予知する, 誓う, ～を忘れる"
immersed,浸る,"崇拝する, 立ち入る, ～を避ける"
expire,期限が切れる,"切望する, 訴える, ～を無視する"
embark,乗り出す,"弱める, 歪曲する, ～を忘れる"
vow,誓う,"吸う, 消す, ～を避ける"
foresee,予知する,"誓う, 説教する, ～を無視する"
adore,崇拝する,"立ち入る, 抑制する, ～を忘れる"
yearn,切望する,"訴える, 耐える, ～を避ける"
undermine,弱める,"歪曲する, 浸す, ～を無視する"
suck,吸う,"消す, 暗唱する, ～を忘れる"
pledge,誓う,"説教する, 押し込む, ～を避ける"
intrude,立ち入る,"抑制する, 嘆願する, ～を無視する"
sue,訴える,"耐える, 恥をかかせる, ～を忘れる"
distort,歪曲する,"浸す, 放出する, ～を避ける"
extinguish,消す,"暗唱する, 非難する, ～を無視する"
preach,説教する,"押し込む, 検索する, ～を忘れる"
curb,抑制する,"嘆願する, 肩をすくめる, ～を避ける"
withstand,耐える,"恥をかかせる, 呼び起こす, ～を無視する"
dip,浸す,"放出する, 取ってくる, ～を忘れる"
recite,暗唱する,"非難する, お世辞を言う, ～を避ける"
thrust,押し込む,"検索する, 散文, ～を無視する"
plead,嘆願する,"肩をすくめる, 織物, ～を忘れる"
humiliate,恥をかかせる,"呼び起こす, 材木, ～を避ける"
